epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,774.987,1.91596,2.91911,1.15195,0.32148,0.15749,0.15789,0.08327,1.69447,2.60173,1.06841,0.000254998,0.000254998,0.000254998
2,1373,1.84754,1.78088,1.18128,0.28839,0.25963,0.22841,0.12415,1.63708,2.08384,1.08402,0.000501207,0.000501207,0.000501207
3,1961.75,1.82423,1.63742,1.18868,0.37598,0.32524,0.27189,0.14505,1.67097,1.95209,1.09866,0.000737265,0.000737265,0.000737265
4,2554.13,1.76501,1.5545,1.18516,0.32388,0.40473,0.32766,0.18057,1.65928,1.78213,1.09758,0.000723321,0.000723321,0.000723321
5,3144.53,1.7816,1.51835,1.18511,0.3704,0.37459,0.33811,0.17849,1.64369,1.76275,1.08097,0.000708095,0.000708095,0.000708095
6,3732.23,1.74315,1.41492,1.17158,0.49726,0.33264,0.35983,0.18721,1.63587,1.68839,1.09361,0.000692869,0.000692869,0.000692869
7,4320.5,1.72887,1.38809,1.16196,0.42878,0.42032,0.38204,0.20869,1.60811,1.58395,1.0756,0.000677643,0.000677643,0.000677643
8,4903.27,1.715,1.32699,1.15931,0.41414,0.4129,0.37642,0.20604,1.57708,1.54398,1.0891,0.000662417,0.000662417,0.000662417
9,5467.18,1.69766,1.31793,1.15696,0.48818,0.46087,0.40763,0.22405,1.54685,1.52175,1.06807,0.00064719,0.00064719,0.00064719
10,6048.54,1.70263,1.31487,1.153,0.50905,0.42118,0.42058,0.23717,1.5586,1.45214,1.07292,0.000631964,0.000631964,0.000631964
11,6635.09,1.66494,1.25095,1.1415,0.4712,0.41642,0.40821,0.23061,1.53661,1.39003,1.06479,0.000616738,0.000616738,0.000616738
12,7220.8,1.67883,1.24571,1.15132,0.47317,0.44476,0.4367,0.2366,1.55548,1.37097,1.06502,0.000601512,0.000601512,0.000601512
13,7811,1.63832,1.21851,1.12777,0.47576,0.41535,0.42541,0.24257,1.53334,1.33293,1.07688,0.000586286,0.000586286,0.000586286
14,8397.76,1.6509,1.21385,1.14852,0.58159,0.41789,0.44235,0.25356,1.47552,1.29598,1.05625,0.000571059,0.000571059,0.000571059
15,8983.57,1.64281,1.19833,1.13276,0.49268,0.44448,0.45439,0.25944,1.49707,1.31178,1.04584,0.000555833,0.000555833,0.000555833
16,9574.47,1.64086,1.17698,1.13459,0.53197,0.459,0.4514,0.25641,1.51894,1.27155,1.05783,0.000540607,0.000540607,0.000540607
17,10162.4,1.63378,1.15716,1.13042,0.51533,0.52633,0.47445,0.26353,1.52604,1.23351,1.06086,0.000525381,0.000525381,0.000525381
18,10749.2,1.64006,1.1611,1.13074,0.59223,0.47974,0.49677,0.27884,1.50495,1.23104,1.05431,0.000510155,0.000510155,0.000510155
19,11337.5,1.62186,1.16085,1.12993,0.56262,0.45253,0.49803,0.28561,1.4671,1.21039,1.05425,0.000494928,0.000494928,0.000494928
20,11926.7,1.60542,1.12575,1.1188,0.56591,0.45986,0.49138,0.28561,1.46984,1.17409,1.05007,0.000479702,0.000479702,0.000479702
21,12493.1,1.58368,1.10766,1.11281,0.54937,0.46166,0.49911,0.28428,1.50277,1.17857,1.0555,0.000464476,0.000464476,0.000464476
22,13068.6,1.58299,1.11047,1.11254,0.54706,0.50184,0.47747,0.2623,1.47986,1.21211,1.05253,0.00044925,0.00044925,0.00044925
23,13665.6,1.60054,1.12029,1.12006,0.55218,0.50144,0.5053,0.28883,1.47989,1.1552,1.04601,0.000434024,0.000434024,0.000434024
24,14264.6,1.58125,1.08892,1.11116,0.58199,0.51801,0.5228,0.29498,1.49563,1.13861,1.05218,0.000418797,0.000418797,0.000418797
25,14858,1.56764,1.08767,1.10903,0.57396,0.50965,0.52441,0.29875,1.47404,1.15847,1.04375,0.000403571,0.000403571,0.000403571
26,15446.6,1.58532,1.0716,1.10211,0.5626,0.49414,0.51801,0.29799,1.4864,1.15131,1.05142,0.000388345,0.000388345,0.000388345
27,16035.7,1.56897,1.05928,1.10629,0.60968,0.47383,0.50532,0.29145,1.4718,1.10832,1.05499,0.000373119,0.000373119,0.000373119
28,16628.2,1.55936,1.05675,1.09782,0.59178,0.49163,0.51657,0.29825,1.45166,1.07965,1.04375,0.000357893,0.000357893,0.000357893
29,17219.4,1.53924,1.03751,1.09512,0.56805,0.53454,0.5292,0.30798,1.46855,1.0865,1.0458,0.000342666,0.000342666,0.000342666
30,17807.5,1.55044,1.03093,1.0941,0.55731,0.53209,0.5339,0.3184,1.46796,1.07048,1.05808,0.00032744,0.00032744,0.00032744
31,18394.4,1.57416,1.05712,1.10902,0.52596,0.49388,0.49972,0.29167,1.43944,1.1036,1.04673,0.000312214,0.000312214,0.000312214
32,18979.5,1.56829,1.04141,1.10605,0.5925,0.54194,0.54552,0.31075,1.45524,1.05105,1.04497,0.000296988,0.000296988,0.000296988
33,19564.7,1.5248,1.02034,1.09142,0.54396,0.54546,0.53722,0.31486,1.47478,1.09244,1.04393,0.000281762,0.000281762,0.000281762
34,20150.5,1.5311,1.01766,1.08735,0.62492,0.49394,0.54261,0.31255,1.4559,1.07353,1.04161,0.000266535,0.000266535,0.000266535
35,20739.1,1.53415,1.01494,1.09919,0.50799,0.53701,0.52801,0.30128,1.45634,1.06952,1.04046,0.000251309,0.000251309,0.000251309
